"Title","Probability"
"Anora",0.910625383199006
"Nickel Boys",0.0221056965257829
"Emilia Perez",0.0195323925707478
"Wicked",0.0167132926597952
"The Brutalist",0.0112743379994013
"The Substance",0.00922754159185015
"A Complete Unkown",0.00558759539141799
"Conclave",0.00197648904241038
"I'm Still Here",0.00172551035642944
"Dune: Part Two",0.00123176066315873
